order_id,date_commande,pays,ville,canal_vente,segment_client,categorie_produit,produit,quantite,prix_unitaire_fcfa,remise_pourcentage,chiffre_affaires_fcfa,cout_fcfa,profit_fcfa,methode_paiement,campagne_marketing,satisfaction_client
CMD-101026,2025-10-24,Guinée équatoriale,Bata,Site web,PME,Informatique,Dell Latitude,4,459773,0,1839092,1117374,721718,Mobile Money,Soldes Ramadan,3.6
CMD-101027,2023-11-20,Gabon,Franceville,WhatsApp Business,PME,Électroménager,Mixeur Moulinex,6,32868,5,187348,142790,44558,Virement bancaire,Soldes Ramadan,4.2
CMD-101028,2024-09-19,Tchad,Moundou,Facebook,Grande entreprise,Informatique,Dell Latitude,15,405599,0,6083985,3955281,2128704,Espèces,Promo WhatsApp,3.7
CMD-101029,2025-04-17,Gabon,Port-Gentil,WhatsApp Business,PME,Alimentation,Lait en poudre,13,6527,5,80609,45538,35071,Espèces,Promo rentrée,3.7
CMD-101030,2025-02-22,Guinée équatoriale,Malabo,Site web,Grande entreprise,Électroménager,Télévision Hisense 43,5,254871,0,1274355,811634,462721,Carte bancaire,Campagne Facebook Ads,3.7
CMD-101031,2026-04-29,Cameroun,Bafoussam,Boutique physique,Grande entreprise,Informatique,HP EliteBook,2,365098,0,730196,544119,186077,Virement bancaire,Soldes Ramadan,3.9
CMD-101032,2024-12-02,RCA,Berbérati,Facebook,PME,Électroménager,Télévision Hisense 43,10,240701,0,2407010,1389780,1017230,Espèces,Promo rentrée,3.6
CMD-101033,2026-04-22,RDC,Lubumbashi,WhatsApp Business,Grande entreprise,Téléphones,iPhone 13,13,563218,0,7321834,5754717,1567117,Mobile Money,Promo WhatsApp,3.6
CMD-101034,2023-10-15,Cameroun,Garoua,Boutique physique,Grande entreprise,Alimentation,Boisson gazeuse,9,3614,0,32526,23945,8581,Espèces,Campagne Facebook Ads,4.5
CMD-101035,2024-02-12,Gabon,Port-Gentil,Revendeur,PME,Électroménager,Mixeur Moulinex,6,35597,5,202903,131439,71464,Espèces,Aucune campagne,4.4
CMD-101036,2023-04-09,RCA,Bangui,Boutique physique,Grande entreprise,Électroménager,Réfrigérateur LG,11,421131,5,4400819,3378233,1022586,Espèces,Promo rentrée,4.7
CMD-101037,2023-05-18,Tchad,Moundou,Site web,Particulier,Téléphones,iPhone 13,13,538045,0,6994585,4932582,2062003,Mobile Money,Aucune campagne,4.5
CMD-101038,2025-06-01,Cameroun,Douala,Instagram,PME,Alimentation,Lait en poudre,10,6906,0,69060,52003,17057,Carte bancaire,Soldes Ramadan,4.6
CMD-101039,2025-06-04,Gabon,Libreville,Instagram,Grande entreprise,Électroménager,Télévision Hisense 43,8,237343,15,1613933,1209891,404042,Espèces,Promo rentrée,4.8
CMD-101040,2024-04-01,Tchad,Moundou,Facebook,Grande entreprise,Téléphones,Samsung Galaxy A15,4,93156,0,372624,230986,141638,Virement bancaire,Soldes Ramadan,4.2
CMD-101041,2023-10-31,RCA,Bangui,WhatsApp Business,Particulier,Alimentation,Boisson gazeuse,15,3920,10,52920,31286,21634,Mobile Money,Aucune campagne,3.4
CMD-101042,2024-03-03,Tchad,N'Djamena,WhatsApp Business,PME,Électroménager,Télévision Hisense 43,2,225829,0,451658,361636,90022,Espèces,Black Friday,3.4
CMD-101043,2025-02-07,Cameroun,Garoua,Revendeur,Grande entreprise,Téléphones,Tecno Spark 20,15,95601,5,1362315,794556,567759,Carte bancaire,Promo WhatsApp,3.1
CMD-101044,2023-09-13,Congo,Nkayi,WhatsApp Business,Grande entreprise,Mode,Montre connectée,4,45667,5,173535,123098,50437,Mobile Money,Black Friday,3.2
CMD-101045,2025-04-30,Guinée équatoriale,Malabo,Boutique physique,Grande entreprise,Téléphones,Redmi Note 13,12,147169,15,1501124,1229040,272084,Espèces,Promo WhatsApp,3.4
CMD-101046,2023-07-24,Gabon,Franceville,Facebook,Particulier,Téléphones,Redmi Note 13,1,126253,5,119941,78931,41010,Virement bancaire,Campagne Facebook Ads,3.7
CMD-101047,2023-02-02,RCA,Berbérati,Facebook,Grande entreprise,Électroménager,Réfrigérateur LG,11,445576,5,4656270,3662176,994094,Espèces,Promo rentrée,4.9
CMD-101048,2023-03-21,Cameroun,Yaoundé,WhatsApp Business,Grande entreprise,Électroménager,Réfrigérateur LG,3,432455,0,1297365,957025,340340,Espèces,Fête de fin d'année,3.1
CMD-101049,2024-01-07,Tchad,Moundou,Boutique physique,Particulier,Électroménager,Ventilateur Binatone,3,26422,10,71340,57830,13510,Mobile Money,Promo WhatsApp,3.7
CMD-101050,2023-02-22,Cameroun,Garoua,Instagram,Particulier,Mode,Chemise homme,15,19986,10,269811,171785,98026,Carte bancaire,Promo WhatsApp,3.7
CMD-101051,2023-07-08,Congo,Nkayi,Boutique physique,Particulier,Alimentation,Huile 5L,3,8787,0,26361,20884,5477,Virement bancaire,Promo WhatsApp,3.8
CMD-101052,2026-01-10,RDC,Matadi,Site web,Grande entreprise,Électroménager,Réfrigérateur LG,5,428005,0,2140025,1251087,888938,Mobile Money,Promo WhatsApp,3.7
CMD-101053,2023-06-18,RDC,Lubumbashi,Revendeur,PME,Électroménager,Mixeur Moulinex,9,32635,0,293715,179430,114285,Espèces,Aucune campagne,4.5
CMD-101054,2025-08-04,Congo,Brazzaville,Site web,Grande entreprise,Électroménager,Télévision Hisense 43,3,248976,0,746928,477084,269844,Espèces,Campagne Facebook Ads,4.3
CMD-101055,2023-03-12,Cameroun,Garoua,Instagram,Grande entreprise,Mode,Chemise homme,11,16853,15,157576,126430,31146,Mobile Money,Campagne Facebook Ads,4.5
CMD-101056,2024-10-22,Cameroun,Yaoundé,Instagram,PME,Téléphones,Tecno Spark 20,11,77224,0,849464,504334,345130,Espèces,Black Friday,3.0
CMD-101057,2024-07-26,RCA,Berbérati,Site web,PME,Mode,Sac à main,8,33770,10,243144,162605,80539,Espèces,Black Friday,4.3
CMD-101058,2024-06-22,Gabon,Port-Gentil,Facebook,PME,Mode,Montre connectée,11,44358,0,487938,368921,119017,Mobile Money,Aucune campagne,3.1
CMD-101059,2023-09-16,Cameroun,Douala,Facebook,PME,Électroménager,Ventilateur Binatone,14,25977,10,327311,243004,84307,Virement bancaire,Aucune campagne,4.7
CMD-101060,2024-02-11,Congo,Brazzaville,Facebook,Grande entreprise,Mode,Sac à main,3,35520,0,106560,80931,25629,Carte bancaire,Aucune campagne,4.5
CMD-101061,2023-11-22,Guinée équatoriale,Malabo,WhatsApp Business,Grande entreprise,Alimentation,Boisson gazeuse,9,3351,10,27144,16151,10993,Carte bancaire,Campagne Facebook Ads,3.2
CMD-101062,2025-03-31,Guinée équatoriale,Malabo,Site web,PME,Alimentation,Lait en poudre,14,6178,0,86492,69967,16525,Virement bancaire,Promo WhatsApp,3.6
CMD-101063,2024-03-03,Gabon,Libreville,Site web,Grande entreprise,Informatique,HP EliteBook,2,365876,10,658577,481019,177558,Mobile Money,Promo rentrée,4.8
CMD-101064,2023-11-23,Guinée équatoriale,Bata,Instagram,Grande entreprise,Électroménager,Mixeur Moulinex,8,38696,0,309568,202963,106605,Carte bancaire,Black Friday,4.3
CMD-101065,2026-04-14,Guinée équatoriale,Bata,WhatsApp Business,Particulier,Téléphones,Tecno Spark 20,5,79484,5,377549,220238,157311,Virement bancaire,Black Friday,4.9
CMD-101066,2025-08-22,RCA,Berbérati,Instagram,PME,Informatique,HP EliteBook,11,353142,0,3884562,2686349,1198213,Mobile Money,Aucune campagne,3.5
CMD-101067,2024-07-11,RCA,Berbérati,Boutique physique,PME,Électroménager,Réfrigérateur LG,15,480794,15,6130124,3936593,2193531,Espèces,Promo rentrée,4.9
CMD-101068,2024-04-05,RCA,Berbérati,Boutique physique,Grande entreprise,Mode,Sac à main,15,34478,5,491312,370834,120478,Espèces,Black Friday,4.0
CMD-101069,2024-07-18,Guinée équatoriale,Bata,Revendeur,Grande entreprise,Mode,Montre connectée,1,50856,0,50856,39536,11320,Espèces,Promo WhatsApp,4.8
CMD-101070,2025-10-10,RCA,Berbérati,Instagram,Grande entreprise,Informatique,HP EliteBook,1,351607,5,334027,205607,128420,Espèces,Promo rentrée,3.4
CMD-101071,2023-08-09,Guinée équatoriale,Bata,Revendeur,Particulier,Alimentation,Lait en poudre,10,6693,15,56891,37166,19725,Mobile Money,Promo rentrée,4.2
CMD-101072,2025-06-20,Guinée équatoriale,Malabo,Site web,Grande entreprise,Informatique,Clé USB 64GB,14,8985,15,106922,59957,46965,Mobile Money,Promo WhatsApp,4.7
CMD-101073,2023-07-22,Guinée équatoriale,Bata,Instagram,Particulier,Téléphones,Tecno Spark 20,10,80340,15,682890,550004,132886,Virement bancaire,Campagne Facebook Ads,3.6
CMD-101074,2024-06-22,Gabon,Port-Gentil,WhatsApp Business,Particulier,Informatique,Imprimante Canon,4,116298,0,465192,296614,168578,Espèces,Soldes Ramadan,4.5
CMD-101075,2024-04-11,RDC,Goma,Facebook,Particulier,Électroménager,Ventilateur Binatone,14,25822,0,361508,258994,102514,Mobile Money,Soldes Ramadan,3.6
CMD-101076,2025-09-21,RDC,Goma,Instagram,PME,Alimentation,Lait en poudre,11,6152,5,64289,38867,25422,Carte bancaire,Black Friday,3.7
CMD-101077,2026-02-21,Gabon,Libreville,Site web,Grande entreprise,Téléphones,Tecno Spark 20,10,83098,10,747882,552730,195152,Carte bancaire,Promo WhatsApp,3.6
CMD-101078,2025-04-08,Tchad,Sarh,WhatsApp Business,Grande entreprise,Téléphones,Tecno Spark 20,2,78424,10,141164,112503,28661,Espèces,Aucune campagne,4.7
CMD-101079,2024-08-24,Gabon,Port-Gentil,Boutique physique,PME,Électroménager,Ventilateur Binatone,2,31115,15,52896,40726,12170,Carte bancaire,Promo WhatsApp,4.2
CMD-101080,2024-03-24,Guinée équatoriale,Malabo,WhatsApp Business,PME,Électroménager,Mixeur Moulinex,11,40185,0,442035,302136,139899,Carte bancaire,Black Friday,3.5
CMD-101081,2026-02-02,Congo,Dolisie,WhatsApp Business,PME,Électroménager,Réfrigérateur LG,14,442283,5,5882364,3893666,1988698,Carte bancaire,Campagne Facebook Ads,5.0
CMD-101082,2024-06-23,Tchad,Sarh,Facebook,Particulier,Mode,Montre connectée,12,46337,0,556044,426444,129600,Espèces,Aucune campagne,3.9
CMD-101083,2026-01-07,Gabon,Libreville,Boutique physique,Grande entreprise,Électroménager,Télévision Hisense 43,14,254578,15,3029479,1868163,1161316,Virement bancaire,Aucune campagne,4.2
CMD-101084,2026-02-08,Gabon,Libreville,WhatsApp Business,PME,Alimentation,Huile 5L,12,9377,15,95646,69261,26385,Espèces,Aucune campagne,4.6
CMD-101085,2023-12-17,Guinée équatoriale,Malabo,Instagram,Grande entreprise,Mode,Montre connectée,8,50292,0,402336,324827,77509,Mobile Money,Fête de fin d'année,3.0
CMD-101086,2023-02-26,RDC,Lubumbashi,Instagram,PME,Téléphones,iPhone 13,2,592115,0,1184230,833500,350730,Carte bancaire,Promo WhatsApp,4.4
CMD-101087,2023-10-23,Cameroun,Bafoussam,Revendeur,Grande entreprise,Informatique,Imprimante Canon,6,114976,10,620871,500106,120765,Espèces,Campagne Facebook Ads,4.5
CMD-101088,2025-04-27,Congo,Pointe-Noire,Revendeur,Particulier,Informatique,HP EliteBook,13,434848,10,5087722,2885652,2202070,Carte bancaire,Aucune campagne,4.5
CMD-101089,2023-07-02,Guinée équatoriale,Malabo,Instagram,Grande entreprise,Électroménager,Réfrigérateur LG,11,475526,15,4446169,2588848,1857321,Virement bancaire,Campagne Facebook Ads,3.2
CMD-101090,2023-12-30,RDC,Matadi,Facebook,PME,Mode,Sac à main,14,31546,0,441644,280012,161632,Mobile Money,Black Friday,4.4
CMD-101091,2025-07-14,Gabon,Port-Gentil,Site web,PME,Électroménager,Mixeur Moulinex,6,40124,15,204633,117054,87579,Mobile Money,Aucune campagne,4.5
CMD-101092,2024-10-31,Congo,Pointe-Noire,Boutique physique,Grande entreprise,Informatique,HP EliteBook,3,342164,10,923843,511251,412592,Espèces,Campagne Facebook Ads,3.8
CMD-101093,2023-11-13,Congo,Brazzaville,Site web,Particulier,Électroménager,Ventilateur Binatone,3,28946,0,86838,50034,36804,Virement bancaire,Soldes Ramadan,4.2
CMD-101094,2026-01-05,Guinée équatoriale,Malabo,Boutique physique,PME,Alimentation,Huile 5L,14,10495,0,146930,105490,41440,Espèces,Promo rentrée,4.8
CMD-101095,2024-11-21,Gabon,Franceville,Revendeur,Grande entreprise,Électroménager,Mixeur Moulinex,15,32372,0,485580,346192,139388,Virement bancaire,Campagne Facebook Ads,4.9
CMD-101096,2025-10-02,RDC,Kinshasa,Instagram,Particulier,Alimentation,Riz 25kg,6,23077,0,138462,85105,53357,Espèces,Promo rentrée,3.4
CMD-101097,2025-12-25,RDC,Kinshasa,Site web,Grande entreprise,Alimentation,Riz 25kg,11,25528,10,252728,177417,75311,Carte bancaire,Fête de fin d'année,4.0
CMD-101098,2025-02-11,Gabon,Libreville,Boutique physique,PME,Mode,Sac à main,5,36353,5,172677,113819,58858,Mobile Money,Fête de fin d'année,3.2
CMD-101099,2023-04-23,Tchad,Moundou,Boutique physique,Particulier,Alimentation,Lait en poudre,5,6658,0,33290,25238,8052,Mobile Money,Fête de fin d'année,4.1
CMD-101100,2023-04-07,Tchad,Sarh,Instagram,Particulier,Alimentation,Huile 5L,11,9294,0,102234,70976,31258,Espèces,Aucune campagne,4.9
CMD-101101,2024-03-15,Congo,Nkayi,WhatsApp Business,Particulier,Alimentation,Huile 5L,9,9430,15,72140,40548,31592,Espèces,Promo rentrée,3.2
CMD-101102,2025-02-20,RCA,Bangui,Revendeur,Particulier,Mode,Sac à main,10,33923,0,339230,190719,148511,Espèces,Promo rentrée,3.4
CMD-101103,2023-10-18,Cameroun,Garoua,Site web,Grande entreprise,Électroménager,Ventilateur Binatone,14,26798,5,356414,200334,156080,Espèces,Promo WhatsApp,4.2
CMD-101104,2025-02-11,RCA,Berbérati,WhatsApp Business,PME,Électroménager,Télévision Hisense 43,7,246691,5,1640496,1267053,373443,Espèces,Aucune campagne,3.6
CMD-101105,2023-08-23,Congo,Nkayi,Instagram,Particulier,Téléphones,Redmi Note 13,3,149203,0,447609,254708,192901,Carte bancaire,Aucune campagne,3.2
CMD-101106,2024-06-19,Gabon,Libreville,Boutique physique,PME,Informatique,Clé USB 64GB,5,9306,0,46530,36339,10191,Carte bancaire,Promo rentrée,3.2
CMD-101107,2023-08-17,Tchad,Moundou,Instagram,Particulier,Électroménager,Mixeur Moulinex,9,40211,5,343805,233540,110265,Mobile Money,Campagne Facebook Ads,3.5
CMD-101108,2023-03-26,RCA,Bangui,Site web,Particulier,Électroménager,Ventilateur Binatone,10,27796,15,236266,139053,97213,Carte bancaire,Soldes Ramadan,4.3
CMD-101109,2024-12-18,Gabon,Libreville,Revendeur,Particulier,Alimentation,Riz 25kg,3,23648,0,70944,56676,14268,Virement bancaire,Promo WhatsApp,3.9
CMD-101110,2025-06-17,Cameroun,Garoua,Instagram,Particulier,Alimentation,Riz 25kg,4,22703,0,90812,58182,32630,Carte bancaire,Aucune campagne,3.1
CMD-101111,2023-05-14,Tchad,Moundou,Site web,Particulier,Alimentation,Huile 5L,3,9849,0,29547,16703,12844,Carte bancaire,Soldes Ramadan,3.8
CMD-101112,2023-01-08,Gabon,Port-Gentil,Instagram,Grande entreprise,Téléphones,Tecno Spark 20,15,78705,0,1180575,651197,529378,Mobile Money,Campagne Facebook Ads,4.1
CMD-101113,2025-03-01,Cameroun,Douala,Site web,PME,Alimentation,Riz 25kg,1,25493,5,24219,19448,4771,Virement bancaire,Soldes Ramadan,3.6
CMD-101114,2023-11-10,Cameroun,Bafoussam,Facebook,Particulier,Alimentation,Boisson gazeuse,6,4007,15,20436,13750,6686,Carte bancaire,Fête de fin d'année,3.9
CMD-101115,2024-09-06,RCA,Bangui,Instagram,PME,Mode,Chemise homme,15,16921,15,215743,119878,95865,Carte bancaire,Promo WhatsApp,3.3
CMD-101116,2025-06-28,Cameroun,Garoua,Instagram,PME,Électroménager,Ventilateur Binatone,7,31385,5,208711,156122,52589,Espèces,Fête de fin d'année,4.9
CMD-101117,2025-01-14,RCA,Berbérati,Site web,PME,Électroménager,Mixeur Moulinex,4,33398,0,133592,93977,39615,Espèces,Soldes Ramadan,4.8
CMD-101118,2025-04-24,Gabon,Libreville,WhatsApp Business,PME,Mode,Sac à main,8,29669,15,201750,135601,66149,Carte bancaire,Soldes Ramadan,3.1
CMD-101119,2023-12-19,RDC,Matadi,Revendeur,Grande entreprise,Électroménager,Ventilateur Binatone,1,30057,5,28555,20079,8476,Carte bancaire,Soldes Ramadan,3.5
CMD-101120,2025-09-23,RDC,Lubumbashi,Site web,Grande entreprise,Électroménager,Ventilateur Binatone,6,28480,15,145248,85006,60242,Mobile Money,Soldes Ramadan,3.6
CMD-101121,2023-07-04,Congo,Pointe-Noire,Facebook,Particulier,Téléphones,Samsung Galaxy A15,1,107354,0,107354,68653,38701,Carte bancaire,Black Friday,3.6
CMD-101122,2023-12-25,Gabon,Libreville,Boutique physique,Grande entreprise,Informatique,Imprimante Canon,10,135135,5,1283783,870756,413027,Carte bancaire,Black Friday,3.6
CMD-101123,2024-07-29,Cameroun,Bafoussam,WhatsApp Business,Particulier,Téléphones,Redmi Note 13,3,145658,15,371428,251376,120052,Carte bancaire,Promo WhatsApp,4.4
CMD-101124,2026-04-15,Congo,Pointe-Noire,Facebook,PME,Électroménager,Ventilateur Binatone,8,27855,0,222840,168718,54122,Carte bancaire,Promo WhatsApp,4.4
CMD-101125,2023-05-22,Congo,Nkayi,Site web,PME,Alimentation,Boisson gazeuse,15,3447,0,51705,40813,10892,Virement bancaire,Black Friday,3.4
CMD-101126,2025-10-10,Congo,Brazzaville,Site web,PME,Informatique,Imprimante Canon,12,131783,0,1581396,1021221,560175,Carte bancaire,Fête de fin d'année,3.0
CMD-101127,2023-12-08,Guinée équatoriale,Bata,WhatsApp Business,Grande entreprise,Électroménager,Télévision Hisense 43,9,258996,0,2330964,1590170,740794,Espèces,Fête de fin d'année,3.1
CMD-101128,2023-06-14,RDC,Matadi,Boutique physique,Particulier,Informatique,HP EliteBook,5,413249,15,1756309,1183196,573113,Mobile Money,Soldes Ramadan,3.7
CMD-101129,2024-07-07,Tchad,N'Djamena,Facebook,PME,Informatique,Clé USB 64GB,4,10135,5,38513,25220,13293,Virement bancaire,Promo WhatsApp,4.4
CMD-101130,2024-06-30,RCA,Berbérati,Instagram,Grande entreprise,Électroménager,Télévision Hisense 43,12,222041,0,2664492,1817141,847351,Mobile Money,Campagne Facebook Ads,3.2
CMD-101131,2023-12-29,RCA,Berbérati,WhatsApp Business,Grande entreprise,Alimentation,Riz 25kg,1,26464,0,26464,16291,10173,Carte bancaire,Campagne Facebook Ads,3.7
CMD-101132,2026-04-08,Congo,Pointe-Noire,Instagram,Grande entreprise,Téléphones,Samsung Galaxy A15,12,104665,10,1130382,643191,487191,Espèces,Campagne Facebook Ads,4.3
CMD-101133,2023-06-16,RCA,Bangui,Revendeur,Particulier,Alimentation,Riz 25kg,1,25824,0,25824,20603,5221,Mobile Money,Promo WhatsApp,3.4
CMD-101134,2024-01-30,Guinée équatoriale,Malabo,WhatsApp Business,Grande entreprise,Électroménager,Réfrigérateur LG,12,386338,0,4636056,3332730,1303326,Virement bancaire,Aucune campagne,4.0
CMD-101135,2025-11-05,RCA,Bangui,WhatsApp Business,Particulier,Mode,Chemise homme,12,19242,0,230904,154585,76319,Espèces,Black Friday,3.0
CMD-101136,2024-10-20,Tchad,Sarh,WhatsApp Business,Particulier,Électroménager,Réfrigérateur LG,12,457974,0,5495688,3300176,2195512,Virement bancaire,Soldes Ramadan,4.5
CMD-101137,2024-12-07,Guinée équatoriale,Bata,Site web,Particulier,Alimentation,Lait en poudre,9,6890,0,62010,41246,20764,Espèces,Fête de fin d'année,4.5
CMD-101138,2025-05-30,Guinée équatoriale,Malabo,Revendeur,PME,Téléphones,Samsung Galaxy A15,2,97230,15,165291,93605,71686,Mobile Money,Soldes Ramadan,3.2
CMD-101139,2026-03-11,RCA,Bangui,Facebook,PME,Informatique,Imprimante Canon,12,128432,15,1310007,1059808,250199,Espèces,Soldes Ramadan,3.5
CMD-101140,2024-01-25,Guinée équatoriale,Bata,WhatsApp Business,Particulier,Informatique,Clé USB 64GB,5,9817,0,49085,34231,14854,Espèces,Promo WhatsApp,3.5
CMD-101141,2023-10-18,RDC,Matadi,Instagram,PME,Informatique,Clé USB 64GB,8,10054,5,76411,51354,25057,Mobile Money,Campagne Facebook Ads,4.5
CMD-101142,2023-12-20,Cameroun,Garoua,WhatsApp Business,Particulier,Mode,Sac à main,7,31725,5,210972,161113,49859,Mobile Money,Promo rentrée,3.3
CMD-101143,2024-09-13,RDC,Matadi,Site web,PME,Électroménager,Télévision Hisense 43,6,218370,5,1244709,816407,428302,Carte bancaire,Black Friday,4.7
CMD-101144,2023-08-06,RDC,Matadi,Facebook,Grande entreprise,Mode,Montre connectée,14,45117,15,536893,303954,232939,Virement bancaire,Aucune campagne,3.1
CMD-101145,2024-09-22,Gabon,Libreville,Facebook,Grande entreprise,Électroménager,Ventilateur Binatone,13,26714,5,329918,182610,147308,Espèces,Soldes Ramadan,4.3
CMD-101146,2025-02-03,Tchad,Moundou,WhatsApp Business,PME,Alimentation,Riz 25kg,10,22376,0,223760,143675,80085,Virement bancaire,Promo rentrée,4.6
CMD-101147,2024-10-02,Congo,Nkayi,Instagram,PME,Informatique,Clé USB 64GB,4,8571,0,34284,25227,9057,Espèces,Aucune campagne,4.3
CMD-101148,2024-04-13,Guinée équatoriale,Bata,Site web,Particulier,Électroménager,Mixeur Moulinex,6,38338,10,207026,168147,38879,Carte bancaire,Promo WhatsApp,4.4
CMD-101149,2024-10-20,Tchad,Moundou,Instagram,PME,Téléphones,iPhone 13,9,582494,5,4980324,3747952,1232372,Espèces,Promo rentrée,3.2
CMD-101150,2024-04-02,RDC,Matadi,Facebook,PME,Électroménager,Télévision Hisense 43,12,215227,0,2582724,1750858,831866,Virement bancaire,Aucune campagne,4.3
CMD-101151,2024-01-21,Cameroun,Garoua,Site web,Grande entreprise,Informatique,Clé USB 64GB,6,9460,10,51084,30855,20229,Mobile Money,Fête de fin d'année,4.9
CMD-101152,2023-01-23,RCA,Bangui,WhatsApp Business,Particulier,Électroménager,Télévision Hisense 43,4,252465,5,959367,709139,250228,Espèces,Promo rentrée,3.6
CMD-101153,2025-02-21,Congo,Nkayi,Site web,PME,Téléphones,iPhone 13,8,568853,0,4550824,3051805,1499019,Espèces,Promo rentrée,4.1
CMD-101154,2023-09-21,Gabon,Port-Gentil,Boutique physique,Particulier,Informatique,Dell Latitude,12,441686,0,5300232,3148249,2151983,Mobile Money,Campagne Facebook Ads,3.6
CMD-101155,2023-02-22,Gabon,Franceville,Revendeur,PME,Mode,Chemise homme,3,17618,15,44926,29258,15668,Virement bancaire,Black Friday,4.3
CMD-101156,2025-11-13,Gabon,Franceville,Revendeur,Grande entreprise,Téléphones,iPhone 13,6,541530,10,2924262,1639437,1284825,Carte bancaire,Promo WhatsApp,3.1
CMD-101157,2025-01-07,Congo,Pointe-Noire,Facebook,Particulier,Électroménager,Mixeur Moulinex,2,36074,15,61326,37620,23706,Virement bancaire,Fête de fin d'année,4.9
CMD-101158,2025-03-21,Guinée équatoriale,Malabo,Site web,Particulier,Mode,Montre connectée,9,43945,5,375730,271762,103968,Carte bancaire,Promo WhatsApp,4.4
CMD-101159,2023-04-18,Cameroun,Douala,Revendeur,Particulier,Informatique,Dell Latitude,4,383933,15,1305373,914511,390862,Virement bancaire,Promo rentrée,4.3
CMD-101160,2025-03-21,Congo,Brazzaville,Facebook,PME,Électroménager,Mixeur Moulinex,14,32704,0,457856,291744,166112,Mobile Money,Soldes Ramadan,3.0
CMD-101161,2026-04-08,RCA,Berbérati,Facebook,Grande entreprise,Alimentation,Riz 25kg,1,22800,0,22800,13825,8975,Mobile Money,Aucune campagne,4.0
CMD-101162,2024-07-30,Gabon,Franceville,Facebook,Grande entreprise,Électroménager,Ventilateur Binatone,4,26265,0,105060,83743,21317,Virement bancaire,Black Friday,3.5
CMD-101163,2024-08-07,Guinée équatoriale,Malabo,Instagram,Grande entreprise,Alimentation,Boisson gazeuse,6,3321,0,19926,13071,6855,Virement bancaire,Black Friday,3.9
CMD-101164,2026-03-13,Cameroun,Douala,Facebook,Grande entreprise,Téléphones,Redmi Note 13,13,129735,0,1686555,1018744,667811,Carte bancaire,Aucune campagne,4.5
CMD-101165,2024-05-31,Guinée équatoriale,Bata,Boutique physique,PME,Informatique,Clé USB 64GB,1,9557,0,9557,6719,2838,Mobile Money,Black Friday,3.4
CMD-101166,2025-07-26,Guinée équatoriale,Malabo,Site web,Particulier,Informatique,Dell Latitude,8,477413,5,3628339,2700905,927434,Virement bancaire,Promo WhatsApp,5.0
CMD-101167,2023-04-13,Tchad,Sarh,Facebook,Particulier,Informatique,Dell Latitude,2,442718,0,885436,690838,194598,Espèces,Promo WhatsApp,4.7
CMD-101168,2025-02-02,RDC,Lubumbashi,Instagram,Grande entreprise,Téléphones,Samsung Galaxy A15,6,90613,0,543678,441550,102128,Mobile Money,Fête de fin d'année,3.2
CMD-101169,2023-03-04,Guinée équatoriale,Malabo,Instagram,Particulier,Téléphones,iPhone 13,3,502154,0,1506462,877495,628967,Mobile Money,Promo rentrée,4.8
CMD-101170,2023-11-10,Congo,Brazzaville,Instagram,Grande entreprise,Mode,Chemise homme,5,16301,10,73355,49846,23509,Virement bancaire,Promo rentrée,3.4
CMD-101171,2023-04-01,Congo,Nkayi,Facebook,Grande entreprise,Mode,Montre connectée,7,45300,0,317100,223785,93315,Espèces,Soldes Ramadan,4.3
CMD-101172,2025-07-06,RDC,Lubumbashi,Revendeur,Particulier,Informatique,HP EliteBook,11,367836,0,4046196,2481940,1564256,Virement bancaire,Aucune campagne,4.6
CMD-101173,2025-08-25,RCA,Berbérati,Facebook,Grande entreprise,Électroménager,Réfrigérateur LG,5,416223,10,1873004,1215898,657106,Espèces,Soldes Ramadan,4.1
CMD-101174,2025-04-02,Tchad,Sarh,Facebook,PME,Électroménager,Télévision Hisense 43,12,243760,5,2778864,1658898,1119966,Carte bancaire,Campagne Facebook Ads,3.7
CMD-101175,2023-10-09,RCA,Berbérati,Facebook,Grande entreprise,Alimentation,Lait en poudre,6,7412,0,44472,31689,12783,Virement bancaire,Promo WhatsApp,3.7
CMD-101176,2024-11-30,Guinée équatoriale,Malabo,Revendeur,Particulier,Téléphones,iPhone 13,9,587378,15,4493442,2647372,1846070,Carte bancaire,Campagne Facebook Ads,4.1
CMD-101177,2026-01-19,Guinée équatoriale,Malabo,Boutique physique,Grande entreprise,Mode,Chaussures Nike,14,55260,0,773640,632401,141239,Mobile Money,Fête de fin d'année,3.1
CMD-101178,2024-10-28,Tchad,Sarh,Facebook,Grande entreprise,Électroménager,Mixeur Moulinex,11,37710,0,414810,282933,131877,Virement bancaire,Aucune campagne,4.5
CMD-101179,2025-07-18,RCA,Berbérati,Revendeur,Particulier,Électroménager,Télévision Hisense 43,12,230459,0,2765508,1689642,1075866,Mobile Money,Campagne Facebook Ads,3.3
CMD-101180,2025-04-11,Tchad,N'Djamena,WhatsApp Business,Grande entreprise,Mode,Sac à main,15,29377,0,440655,271132,169523,Mobile Money,Campagne Facebook Ads,3.6
CMD-101181,2023-05-27,Cameroun,Douala,Instagram,Particulier,Téléphones,Samsung Galaxy A15,5,88375,0,441875,341775,100100,Virement bancaire,Fête de fin d'année,3.1
CMD-101182,2026-04-22,RCA,Berbérati,Revendeur,Grande entreprise,Téléphones,iPhone 13,6,518407,0,3110442,1965868,1144574,Mobile Money,Soldes Ramadan,4.8
